case_no,title,date,case_link,division,ponente,dispositive position,votes,Gesmundo,Leonen,Caguioa,Hernando,Lazaro-Javier,M. Lopez,Inting,Zalameda,Gaerlan,Rosario,J. Lopez,Dimaampao,Marquez,Kho,Singh
G.R. No. 227600,"HO CHING YI, PETITIONER, VS. REPUBLIC OF THE PHILIPPINES, RESPONDENT.",6/13/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68418,SECOND DIVISION,LEONEN,"WHEREFORE, the Petition for Review on Certiorari is DENIED. The Court of Appeals' June 7, 2016 Decision and October 10, 2016 Resolution in CA-G.R. CV No. 104569 are AFFIRMED. Petitioner Ho Ching Yi's petition for naturalization is DENIED due to insufficiency of evidence to prove that petitioner has all the qualifications and none of the disqualifications provided by law to warrant the granting of the petition.SO ORDERED. M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.Lazaro-Javier, J., on official leave.* On official leave"," M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.Lazaro-Javier, J., on official leave.* On official leave",,P,,,OL,C,,,,,C,,,C,
G.R. No. 240066,"GERRY S. FEGARIDO AND LINALIE A. MILAN, PETITIONERS, VS. ALMARINA[1] S. ALCANTARA, CYNTHIA A. DE VERA, YOLANDA A. TAYAG, CRISTY SUSAN A. DE GUZMAN, JESSIE S. ALCANTARA, EMILIE A. VELANCIO, JUDITH A. RAGUINGAN, CHARLIE S. ALCANTARA, ALL SUING AS HEIRS OF THEIR DECEASED MOTHER CRISTINA S. ALCANTARA (VICTIM), AND ALL REPRESENTED BY THEIR ATTORNEY-IN-FACT AND CO-PLAINTIFF, CHARLIE S. ALCANTARA, RESPONDENTS.",6/13/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68422,SECOND DIVISION,LEONEN,"WHEREFORE, the Petition is DENIED. The October 13, 2017 Decision and May 4, 2018 Resolution of the Court of Appeals in C.A.-G.R. CV No. 105000 are AFFIRMED.Petitioners Gerry S. Fegarido and Linalie A. Milan are solidarily liable to pay respondents-heirs of Cristina S. Alcantara the following:Actual damages worth P138,591.00;Moral damages worth P100,000.00;Exemplary damages worth P50,000.00; andAttorney's fees and litigation expenses worth P40,000.00.The total amount shall earn legal interest at the rate of 6% per annum from the finality of this Decision until full payment.[77]SO ORDERED. M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.Lazaro-Javier*, J., on official leave."," M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.Lazaro-Javier*, J., on official leave.",,P,,,OL,C,,,,,C,,,C,
G.R. No. 229438,"LAND BANK OF THE PHILIPPINES, PETITIONER, VS. MARY BASILAN, RAUL BASILAN, AND BENJAMIN CAMIUIT A.K.A. BENJAMIN CAMIWET [DECEASED], SUBSTITUTED BY HIS SURVIVING SPOUSE, JUANITA CAMIWET, AND CHILDREN, SHANE VICENTE, CLINT CAMIWET, AND LEDEN LICZEK, RESPONDENTS.",6/13/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68424,SECOND DIVISION,LEONEN,"WHEREFORE, the Petition for Review on Certiorari is DENIED for lack of merit. The Court of Appeals' July 12, 2016 Decision and January 16, 2017 Resolution in CA-G.R. SP No. 137010 are AFFIRMED.SO ORDERED. M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.Lazaro-Javier, J., on official leave.* On official leave"," M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.Lazaro-Javier, J., on official leave.* On official leave",,P,,,OL,C,,,,,C,,,C,
G.R. No. 252252,"PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. EDUARDO M. PAGUIO, ACCUSED-APPELLANT.",6/13/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68606,SECOND DIVISION,KHO,"Accordingly he is sentenced to suffer the penalty of reclusion perpetua, and ordered to pay AAA the amounts of P75,000.00 as civil indemnity, P75,000.00 as moral damages, and P75,000.00 as exemplary damages, all with legal interest at the rate of six percent (6%) per annum from the date of finality of this Decision until full payment.SO ORDERED. Leonen, SAJ. (Chairperson), M. Lopez, and J. Lopez, JJ., concur.Lazaro-Javier,* J., on official leave.* On official leave."," Leonen, SAJ. (Chairperson), M. Lopez, and J. Lopez, JJ., concur.Lazaro-Javier,* J., on official leave.* On official leave.",,C,,,OL,C,,,,,C,,,P,
A.M. No. P-20-4050 [Formerly OCA IPI No. 16-4600-P],"PRESIDING JUDGE ALEJANDRO RAMON C. ALANO, BRANCH 55, REGIONAL TRIAL COURT, GENERAL SANTOS CITY, SOUTH COTABATO, COMPLAINANT, VS. RUEL V. DELICANA, LEGAL RESEARCHER I, BRANCH 3, MUNICIPAL TRIAL COURT IN CITIES, GENERAL SANTOS CITY, SOUTH COTABATO, RESPONDENT.  [OCA IPI No. 16-4578-RTJ]  RUEL V. DELICANA, LEGAL RESEARCHER I, BRANCH 3, MUNICIPAL TRIAL COURT IN CITIES [MTCC], GENERAL SANTOS CITY, SOUTH COTABATO, COMPLAINANT, VS. JUDGE ALEJANDRO RAMON C. ALANO, BRANCH 55, REGIONAL TRIAL COURT, GENERAL SANTOS CITY, SOUTH COTABATO AND MARY JANE G. CORPUZ, SHERIFF III, OFFICE OF THE CLERK OF COURT, MTCC, GENERAL SANTOS CITY, SOUTH COTABATO, RESPONDENTS.",6/14/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68379,EN BANC,PER CURIAM:,"WHEREFORE, Ruel V. Delicana, Legal Researcher I, Municipal Trial Court in Cities, Branch 3, General Santos City, South Cotabato, is hereby declared administratively GUILTY of Gross Misconduct, Prejudicial Conduct that Gravely Besmirches or Taints the Reputation of the Service, and Gross Insubordination. Following the amended provisions of Rule 140 of the Rules of Court, The Court imposes upon Ruel V. Delicana the penalties of –DISMISSAL from the service;FORFEITURE of retirement and other benefits, except accrued leave credits; andPERPETUAL DISQUALIFICATION from holding public office and reemployment in the government service, including government­ owned and controlled corporations.Let Ruel V. Delicana's three-fold liability for the serious administrative charges of Gross Misconduct, Prejudicial Conduct that Gravely Besmirches or Taints the Reputation of the Service, and Gross Insubordination be reflected on his service record.SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Kho, Jr., and Singh, JJ., concur.Lazaro-Javier,* J., on official leave.Marquez,** J., no part.* On official leave.** No part due to prior action as Court Administrator."," Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Kho, Jr., and Singh, JJ., concur.Lazaro-Javier,* J., on official leave.Marquez,** J., no part.* On official leave.** No part due to prior action as Court Administrator.",C,C,C,C,OL,C,C,C,C,C,C,C,NP,C,C
G.R. No. 251967,"BERNADETTE LOURDES B. ABEJO, EXECUTIVE DIRECTOR OF THE INTER-COUNTRY ADOPTION BOARD, PETITIONER, VS. THE COMMISSION ON AUDIT, REPRESENTED BY CHAIRPERSON, MICHAEL AGUINALDO, RESPONDENT.",6/14/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68399,EN BANC,ZALAMEDA,"WHEREFORE, the petition is PARTIALLY GRANTED. Decision No. 2020-058 dated 14 January 2020 of the Commission on Audit Proper is hereby AFFIRMED WITH MODIFICATION. The validity of Notice of Disallowance No. 2011-009-101-(08-10) dated 04 April 2011 is AFFIRMED. Nevertheless, petitioner Bernadette Lourdes B. Abejo is ABSOLVED from her solidary liability to return the disallowed amount.SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Inting, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Lazaro-Javier,* J., on official leave.* On official leave."," Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Inting, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Lazaro-Javier,* J., on official leave.* On official leave.",C,C,C,C,OL,C,C,P,C,C,C,C,C,C,C
G.R. No. 252214,"PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. BBB,[1] ACCUSED-APPELLANT.",6/14/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68802,EN BANC,GAERLAN,"WHEREFORE, the appeal is DISMISSED for lack of merit. The Decision dated November 11, 2019 of the Court of Appeals in CA-G.R. CR­ HC No. 11429 is AFFIRMED with MODIFICATION. Accused-appellant BBB is found GUILTY beyond reasonable doubt of Rape under Article 266-A of the Revised Penal Code, as amended, and is hereby sentenced to suffer the penalty of reclusion perpetua without eligibility for parole. Accused-appellant BBB is further ORDERED to PAY AAA the amount of P100,000.00 each as civil indemnity, moral damages, and exemplary damages. All monetary awards shall earn legal interest at the rate of six percent (6%) per annum from the date of finality of this Decision until their full satisfaction. SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Inting, Zalameda, M. Lopez, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Lazaro-Javier,* J., on official leave. * On official leave. "," Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Inting, Zalameda, M. Lopez, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Lazaro-Javier,* J., on official leave. * On official leave. ",C,C,C,C,OL,C,C,C,P,C,C,C,C,C,C
G.R. No. 239995,"ROSA C. GONZALBO-MACATANGAY, PETITIONER, VS. HONORABLE CIVIL SERVICE COMMISSION, RESPONDENT.",6/15/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68384,FIRST DIVISION,HERNANDO,"WHEREFORE, the Petition is DENIED. The August 10, 2017 Decision and the May 9, 2018 Resolution of the Court of Appeals in CA-G.R. SP No. 142681 are AFFIRMED.SO ORDERED. Gesmundo, C.J. (Chairperson), Zalameda, Rosario, and Marquez, JJ., concur."," Gesmundo, C.J. (Chairperson), Zalameda, Rosario, and Marquez, JJ., concur.",C,,,P,,,,C,,C,,,C,,
G.R. No. 214960,"TONY N. CHUA, JIMMY N. CHUA, AND ERNEST T. JENG, PETITIONERS, VS. SECRETARY OF JUSTICE AND BDO UNIBANK, INC., RESPONDENTS.",6/15/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68383,FIRST DIVISION,HERNANDO,"WHEREFORE, the Petition for Review on Certiorari is DENIED. The May 29, 2014 Decision and October 15, 2014 Resolution of the Court of Appeals in CA-G.R. SP No. 124558, are AFFIRMED. The City Prosecutor of Makati City is DIRECTED to file four counts of Estafa under Article 315, paragraph 1(b) of the Revised Penal Code in relation to Presidential Decree No. 115, or the Trust Receipts Law, against petitioners Tony N. Chua, Jimmy N. Chua, and Ernest T. Jeng. In the event that an Information has already been filed, the branch of the Regional Trial Court, Makati City where the criminal case is raffled, is DIRECTED to commence or continue with the proceedings with DISPATCH.SO ORDERED. Gesmundo, C.J. (Chairperson), Zalameda, Rosario, and Marquez, JJ., concur."," Gesmundo, C.J. (Chairperson), Zalameda, Rosario, and Marquez, JJ., concur.",C,,,P,,,,C,,C,,,C,,
G.R. No. 206847,"THE HEIRS OF ZENAIDA B. GONZALES, REPRESENTED BY ARNEL B. GONZALES, PETITIONERS, VS. SPOUSES DOMINADOR AND ESTEFANIA BASAS AND ROMEO MUNDA, RESPONDENTS.",6/15/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68382,FIRST DIVISION,HERNANDO,"WHEREFORE, the instant petition is hereby GRANTED. The November 5, 2012 Decision and the April 18, 2013 Resolution of the Court of Appeals in CA-G.R. CV No. 93712 are REVERSED and SET ASIDE. The October 6, 2008 Decision of the Regional Trial Court of Manila City, Branch 32 in Civil Case No. 98-88713 is REINSTATED with MODIFICATION in that the award of exemplary damages shall earn interest at the rate of six percent (6%) per annum from date of finality of this Decision until full payment. SO ORDERED. Gesmundo, C.J. (Chairperson), Zalameda, Rosario, and Marquez, JJ., concur."," Gesmundo, C.J. (Chairperson), Zalameda, Rosario, and Marquez, JJ., concur.",C,,,P,,,,C,,C,,,C,,
